player_name,team,season,Primary_Position,minutes_played,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_misc_Fld,Performance_misc_Off,Gls90,Ast90,G_minus_PK90,G_plus_A_minus_PK90,Fld90,Off90,Crosses90,PCA_raw,Offensive_Score,Rank
Brugui,Levante,2025-2026,MF,1005,1,1,2,1,8,6,0.08955223880597016,0.08955223880597016,0.08955223880597016,0.17910447761194032,0.7164179104477613,0.5373134328358209,0.9850746268656717,0.16904157582163032,60.215053763440864,75
Tete Morente,Elche,2025-2026,MF,929,1,1,2,1,10,2,0.0968783638320775,0.0968783638320775,0.0968783638320775,0.193756727664155,0.968783638320775,0.193756727664155,4.456404736275565,0.16622636389135603,59.67741935483871,76
Unai Gómez,Athletic Club,2025-2026,MF,936,1,1,2,1,6,4,0.09615384615384615,0.09615384615384615,0.09615384615384615,0.1923076923076923,0.5769230769230769,0.3846153846153846,2.2115384615384617,0.1049845038173996,59.13978494623656,77
Filip Ugrinic,Valencia,2025-2026,MF,1504,0,3,3,0,13,6,0.0,0.17952127659574468,0.0,0.17952127659574468,0.7779255319148936,0.35904255319148937,3.351063829787234,0.0800375630329252,58.602150537634415,78
Federico Valverde,Real Madrid,2025-2026,MF,2740,5,8,13,5,14,1,0.1642335766423358,0.26277372262773724,0.1642335766423358,0.427007299270073,0.4598540145985402,0.032846715328467155,0.9854014598540146,0.07775966934232628,58.06451612903226,79
Grady Diangana,Elche,2025-2026,MF,926,1,0,1,1,19,5,0.09719222462203023,0.0,0.09719222462203023,0.09719222462203023,1.8466522678185744,0.48596112311015116,1.1663066954643628,0.07102395453930482,57.52688172043011,80
Ramón Terrats,Espanyol,2025-2026,MF,1030,1,2,3,1,22,1,0.08737864077669903,0.17475728155339806,0.08737864077669903,0.2621359223300971,1.9223300970873787,0.08737864077669903,2.621359223300971,0.06334586514176968,56.98924731182796,81
Jan Virgili,Mallorca,2025-2026,MF,1792,2,4,6,2,24,2,0.10044642857142858,0.20089285714285715,0.10044642857142858,0.3013392857142857,1.2053571428571428,0.10044642857142858,2.360491071428571,0.060735819935127014,56.451612903225815,82
Luka Sučić,Real Sociedad,2025-2026,MF,1022,3,1,4,3,6,1,0.26418786692759294,0.08806262230919765,0.26418786692759294,0.3522504892367906,0.5283757338551859,0.08806262230919765,0.5283757338551859,0.05023479162298156,55.91397849462365,83
Sergi Darder,Mallorca,2025-2026,MF,2680,1,5,6,1,29,2,0.033582089552238806,0.16791044776119401,0.033582089552238806,0.20149253731343283,0.9738805970149254,0.06716417910447761,5.541044776119403,0.03373630189487746,55.376344086021504,84
Carlos Álvarez,Levante,2025-2026,MF,1890,3,1,4,3,49,2,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.19047619047619047,2.3333333333333335,0.09523809523809523,2.5714285714285716,0.013483562163142969,54.83870967741935,85
Jofre,Espanyol,2025-2026,MF,930,1,0,1,1,27,2,0.0967741935483871,0.0,0.0967741935483871,0.0967741935483871,2.6129032258064515,0.1935483870967742,3.387096774193548,0.009537641550577583,54.3010752688172,86
Mateo Joseph,Mallorca,2025-2026,MF,1699,2,3,5,2,31,4,0.10594467333725721,0.15891701000588582,0.10594467333725721,0.26486168334314303,1.6421424367274868,0.21188934667451442,0.7416127133608005,-0.001515201500284405,53.76344086021505,87
Chidera Ejuke,Sevilla,2025-2026,MF,932,1,1,2,1,16,2,0.09656652360515021,0.09656652360515021,0.09656652360515021,0.19313304721030042,1.5450643776824033,0.19313304721030042,2.6072961373390555,-0.0039287515816177725,53.2258064516129,88
André Almeida,Valencia,2025-2026,MF,1017,0,2,2,0,22,0,0.0,0.17699115044247787,0.0,0.17699115044247787,1.9469026548672566,0.0,5.752212389380531,-0.008805771262472326,52.68817204301075,89
Carles Aleñá,Alavés,2025-2026,MF,1989,0,4,4,0,36,1,0.0,0.18099547511312217,0.0,0.18099547511312217,1.6289592760180995,0.04524886877828054,5.475113122171946,-0.011817849997867266,52.1505376344086,90
Pape Gueye,Villarreal,2025-2026,MF,2131,5,2,7,4,54,2,0.21116846550915064,0.08446738620366026,0.16893477240732052,0.25340215861098075,2.2806194274988267,0.08446738620366026,0.5912717034256217,-0.012429236056994614,51.61290322580645,91
Kervin Arriaga,Levante,2025-2026,MF,1532,3,3,6,3,22,1,0.1762402088772846,0.1762402088772846,0.1762402088772846,0.3524804177545692,1.2924281984334203,0.0587467362924282,0.293733681462141,-0.03349864427695387,51.075268817204304,92
Haissem Hassan,Oviedo,2025-2026,MF,1942,0,3,3,0,25,3,0.0,0.13903192584963953,0.0,0.13903192584963953,1.1585993820803295,0.13903192584963953,5.236869207003089,-0.08290981298330453,50.53763440860215,93
Ilias Akhomach,Rayo Vallecano,2025-2026,MF,709,0,1,1,0,29,1,0.0,0.12693935119887165,0.0,0.12693935119887165,3.408831747335346,0.12693935119887165,2.792665726375176,-0.11120022578824301,50.0,94
Santi Cazorla,Oviedo,2025-2026,MF,940,0,1,1,0,19,0,0.0,0.09574468085106383,0.0,0.09574468085106383,1.8191489361702127,0.0,6.797872340425532,-0.11423034056560172,49.46236559139785,95
Guido Rodríguez,Valencia,2025-2026,MF,1309,4,0,4,4,28,0,0.2750190985485103,0.0,0.2750190985485103,0.2750190985485103,1.9251336898395721,0.0,0.20626432391138275,-0.12002085957351705,48.924731182795696,96
Carlos Soler,Real Sociedad,2025-2026,MF,2317,4,3,7,4,20,0,0.15537332757876565,0.11652999568407424,0.15537332757876565,0.2719033232628399,0.7768666378938283,0.0,2.835563228312473,-0.12026836983061595,48.38709677419355,97
Marc Bernal,Barcelona,2025-2026,MF,790,2,1,3,2,11,0,0.22784810126582278,0.11392405063291139,0.22784810126582278,0.34177215189873417,1.2531645569620251,0.0,0.11392405063291139,-0.12226988999681664,47.8494623655914,98
Rodrigo Riquelme,Real Betis,2025-2026,MF,821,1,1,2,1,11,1,0.10962241169305725,0.10962241169305725,0.10962241169305725,0.2192448233861145,1.2058465286236297,0.10962241169305725,2.4116930572472595,-0.1379698595393708,47.31182795698925,99
Frenkie de Jong,Barcelona,2025-2026,MF,1636,1,5,6,1,26,2,0.05501222493887531,0.27506112469437655,0.05501222493887531,0.33007334963325186,1.430317848410758,0.11002444987775062,0.27506112469437655,-0.16537948675203848,46.774193548387096,100
Óscar Mingueza,Celta Vigo,2025-2026,MF,1968,1,4,5,1,28,1,0.04573170731707317,0.18292682926829268,0.04573170731707317,0.22865853658536586,1.2804878048780488,0.04573170731707317,3.1097560975609757,-0.2020731893220327,46.236559139784944,101
Rodrigo Mendoza,Elche,2025-2026,MF,794,1,0,1,1,16,2,0.11335012594458438,0.0,0.11335012594458438,0.11335012594458438,1.81360201511335,0.22670025188916876,1.9269521410579344,-0.20236549966778783,45.69892473118279,102
